AppID,Name,Playtime (Hours)
10,Counter-Strike,0.65
30,Day of Defeat,0.0
40,Deathmatch Classic,0.0
60,Ricochet,0.0
80,Counter-Strike: Condition Zero,0.23
100,Counter-Strike: Condition Zero Deleted Scenes,0.0
240,Counter-Strike: Source,409.87
300,Day of Defeat: Source,0.0
320,Half-Life 2: Deathmatch,0.0
39500,Gothic 3,0.0
39510,Gothic II: Gold Classic,0.02
65540,Gothic 1 Classic,0.32
950670,Gothic Playable Teaser,0.0
249990,FORCED,23.73
291550,Brawlhalla,173.32
544730,Catan Universe,15.17
304930,Unturned,0.5
824270,KovaaK's,11.5
880940,Pummel Party,10.13
714010,Aimlabs,9.23
1172470,Apex Legends,728.87
1217060,Gunfire Reborn,35.52
1426210,It Takes Two,5.58
1086940,Baldur's Gate 3,66.85
