stat,original_count,cleaned_count,removed_count,percent_excluded,0%,25%,50%,75%,100%,80%,90%,95%,99%
total_kills,9273,8651,622,6.707645853553326,0.0,1596.0,10228.0,27866.0,82470.0,33545.0,49147.0,61128.5,77548.0
total_deaths,9256,8672,584,6.309420916162489,0.0,1627.5,10009.0,27610.5,80119.0,33162.4,48608.8,59547.7,74905.45
total_time_played,9271,8664,607,6.547298026102902,0.0,103871.75,687805.0,1954786.75,5712810.0,2342679.8000000007,3462394.8,4259833.750000003,5368506.67
total_wins,9265,8719,546,5.893146249325419,0.0,635.0,4937.0,13204.5,38078.0,15810.800000000001,23090.399999999994,29040.0,35658.479999999996
total_kills_headshot,9250,8527,723,7.816216216216216,0.0,529.0,3376.0,10161.0,31361.0,12259.400000000001,18546.4,23447.0,29475.659999999996
total_shots_hit,9023,8486,537,5.951457386678488,0.0,4901.0,33310.0,90005.0,257715.0,107932.0,155349.5,195350.75,242561.99999999988
total_shots_fired,9265,8708,557,6.011872638963842,0.0,32648.5,195142.5,511963.25,1465517.0,614587.2000000001,887982.3000000002,1102179.8499999999,1372683.6
total_rounds_played,9258,8723,535,5.778785914884424,0.0,1186.0,9122.0,25781.5,74913.0,31415.6,45532.200000000004,57612.499999999985,70473.68000000001
total_matches_won,9086,8541,545,5.998239049086507,0.0,46.0,250.0,633.0,1783.0,749.0,1071.0,1345.0,1658.6000000000004
total_matches_played,9198,8670,528,5.740378343118069,0.0,113.0,594.5,1484.75,4144.0,1760.0,2506.2000000000007,3123.0999999999985,3866.619999999999
total_gg_matches_won,5562,4672,890,16.001438331535418,0.0,2.0,5.0,13.0,62.0,16.0,27.0,38.0,54.0
total_gg_matches_played,8627,7506,1121,12.994088327344382,0.0,16.25,69.0,189.0,746.0,235.0,378.5,510.0,684.8999999999996
KD_ratio,9236,8399,837,9.062364660025986,0.3560371517027864,0.8330640745965312,0.9732522796352584,1.1161231983315116,1.6313138379739751,1.1531538231692375,1.2668677904537229,1.3919691111623786,1.5615355105160198
